x,y,label,region_id
2725075.0,1208825.0,,region_glarus_01
2722950.0,1207150.0,,region_glarus_01
2722600.0,1207125.0,,region_glarus_01
2725500.0,1207725.0,,region_glarus_01
2723600.0,1208550.0,,region_glarus_01
2723475.0,1208825.0,,region_glarus_01
2723400.0,1207525.0,,region_glarus_01
2723050.0,1208600.0,,region_glarus_01
2725475.0,1208175.0,,region_glarus_01
2722900.0,1208575.0,,region_glarus_01
2725225.0,1208950.0,,region_glarus_01
2725500.0,1207375.0,,region_glarus_01
2724700.0,1208175.0,,region_glarus_01
2722850.0,1207250.0,,region_glarus_01
2724875.0,1208975.0,,region_glarus_01
2724200.0,1208100.0,,region_glarus_01
2722625.0,1207375.0,,region_glarus_01
2722600.0,1209100.0,,region_glarus_01
2722875.0,1207500.0,,region_glarus_01
2723375.0,1208175.0,,region_glarus_01
2723425.0,1208850.0,,region_glarus_01
2724525.0,1209450.0,,region_glarus_01
2724925.0,1208650.0,,region_glarus_01
2722600.0,1207750.0,,region_glarus_01
2724775.0,1207100.0,,region_glarus_01
2723300.0,1207625.0,,region_glarus_01
2725400.0,1207375.0,,region_glarus_01
2725125.0,1208050.0,,region_glarus_01
2725325.0,1208925.0,,region_glarus_01
2724700.0,1208000.0,,region_glarus_01
2724200.0,1207125.0,,region_glarus_01
2723375.0,1208900.0,,region_glarus_01
2724300.0,1209175.0,,region_glarus_01
2724875.0,1208475.0,,region_glarus_01
2723625.0,1207300.0,,region_glarus_01
2722525.0,1207125.0,,region_glarus_01
2723125.0,1209250.0,,region_glarus_01
2725325.0,1207625.0,,region_glarus_01
2724200.0,1208400.0,,region_glarus_01
2723875.0,1207475.0,,region_glarus_01
2723625.0,1207175.0,,region_glarus_01
2723125.0,1207550.0,,region_glarus_01
2723350.0,1209325.0,,region_glarus_01
2723850.0,1208500.0,,region_glarus_01
2722900.0,1208450.0,,region_glarus_01
2722875.0,1207100.0,,region_glarus_01
2724025.0,1208575.0,,region_glarus_01
2722875.0,1208725.0,,region_glarus_01
2723950.0,1207575.0,,region_glarus_01
2723875.0,1209000.0,,region_glarus_01
2724925.0,1209350.0,,region_glarus_01
2723550.0,1209275.0,,region_glarus_01
2722675.0,1207100.0,,region_glarus_01
