image_path,label,region_id,x,y,block_id
data/y/2499000_1116525.png,1,2499_1116,2499000,1116525,
data/y/2499000_1116575.png,1,2499_1116,2499000,1116575,
data/y/2499000_1116600.png,1,2499_1116,2499000,1116600,
data/y/2499000_1117150.png,1,2499_1117,2499000,1117150,
data/y/2499000_1117175.png,1,2499_1117,2499000,1117175,
data/y/2499000_1117200.png,1,2499_1117,2499000,1117200,
data/y/2499000_1117350.png,1,2499_1117,2499000,1117350,
data/y/2499000_1117725.png,1,2499_1117,2499000,1117725,
data/y/2499000_1117750.png,1,2499_1117,2499000,1117750,
data/y/2499000_1118000.png,1,2499_1118,2499000,1118000,
data/y/2499000_1118300.png,1,2499_1118,2499000,1118300,
data/y/2499000_1119125.png,1,2499_1119,2499000,1119125,
data/y/2499000_1119150.png,1,2499_1119,2499000,1119150,
data/y/2499000_1120300.png,1,2499_1120,2499000,1120300,
data/y/2499025_1116350.png,1,2499_1116,2499025,1116350,
data/y/2499025_1116575.png,1,2499_1116,2499025,1116575,
data/y/2499025_1116600.png,1,2499_1116,2499025,1116600,
data/y/2499025_1116900.png,1,2499_1116,2499025,1116900,
data/y/2499025_1116975.png,1,2499_1116,2499025,1116975,
data/y/2499025_1117175.png,1,2499_1117,2499025,1117175,
data/y/2499025_1117200.png,1,2499_1117,2499025,1117200,
data/y/2499025_1117325.png,1,2499_1117,2499025,1117325,
data/y/2499025_1117350.png,1,2499_1117,2499025,1117350,
data/y/2499025_1117525.png,1,2499_1117,2499025,1117525,
data/y/2499025_1117575.png,1,2499_1117,2499025,1117575,
data/y/2499025_1117600.png,1,2499_1117,2499025,1117600,
data/y/2499025_1117900.png,1,2499_1117,2499025,1117900,
data/y/2499025_1117925.png,1,2499_1117,2499025,1117925,
data/y/2499025_1117950.png,1,2499_1117,2499025,1117950,
data/y/2499025_1117975.png,1,2499_1117,2499025,1117975,
data/y/2499025_1118000.png,1,2499_1118,2499025,1118000,
data/y/2499025_1118025.png,1,2499_1118,2499025,1118025,
data/y/2499025_1118475.png,1,2499_1118,2499025,1118475,
data/y/2499025_1119125.png,1,2499_1119,2499025,1119125,
data/y/2499025_1119150.png,1,2499_1119,2499025,1119150,
data/y/2499025_1119800.png,1,2499_1119,2499025,1119800,
data/y/2499050_1116350.png,1,2499_1116,2499050,1116350,
data/y/2499050_1116775.png,1,2499_1116,2499050,1116775,
data/y/2499050_1116875.png,1,2499_1116,2499050,1116875,
data/y/2499050_1116900.png,1,2499_1116,2499050,1116900,
data/y/2499050_1116975.png,1,2499_1116,2499050,1116975,
data/y/2499050_1117175.png,1,2499_1117,2499050,1117175,
data/y/2499050_1117575.png,1,2499_1117,2499050,1117575,
data/y/2499050_1117800.png,1,2499_1117,2499050,1117800,
data/y/2499050_1117825.png,1,2499_1117,2499050,1117825,
data/y/2499050_1117950.png,1,2499_1117,2499050,1117950,
data/y/2499050_1118525.png,1,2499_1118,2499050,1118525,
data/y/2499050_1120250.png,1,2499_1120,2499050,1120250,
data/y/2499050_1120425.png,1,2499_1120,2499050,1120425,
data/y/2499050_1120450.png,1,2499_1120,2499050,1120450,
data/y/2499050_1120725.png,1,2499_1120,2499050,1120725,
