x,y,label,region_id,block_id
2612225.0,1267950.0,,region_basel_stadt_core_01,block_0001
2612225.0,1267975.0,,region_basel_stadt_core_01,block_0001
2612225.0,1268000.0,,region_basel_stadt_core_01,block_0001
2612225.0,1268025.0,,region_basel_stadt_core_01,block_0001
2612250.0,1267950.0,,region_basel_stadt_core_01,block_0001
2612250.0,1267975.0,,region_basel_stadt_core_01,block_0001
2612250.0,1268000.0,,region_basel_stadt_core_01,block_0001
2612250.0,1268025.0,,region_basel_stadt_core_01,block_0001
2612275.0,1267950.0,,region_basel_stadt_core_01,block_0001
2612275.0,1267975.0,,region_basel_stadt_core_01,block_0001
2612275.0,1268000.0,,region_basel_stadt_core_01,block_0001
2612275.0,1268025.0,,region_basel_stadt_core_01,block_0001
2612300.0,1267950.0,,region_basel_stadt_core_01,block_0001
2612300.0,1267975.0,,region_basel_stadt_core_01,block_0001
2612300.0,1268000.0,,region_basel_stadt_core_01,block_0001
2612300.0,1268025.0,,region_basel_stadt_core_01,block_0001
2612600.0,1268875.0,,region_basel_stadt_core_01,block_0002
2612600.0,1268900.0,,region_basel_stadt_core_01,block_0002
2612600.0,1268925.0,,region_basel_stadt_core_01,block_0002
2612600.0,1268950.0,,region_basel_stadt_core_01,block_0002
2612625.0,1268875.0,,region_basel_stadt_core_01,block_0002
2612625.0,1268900.0,,region_basel_stadt_core_01,block_0002
2612625.0,1268925.0,,region_basel_stadt_core_01,block_0002
2612625.0,1268950.0,,region_basel_stadt_core_01,block_0002
2612650.0,1268875.0,,region_basel_stadt_core_01,block_0002
2612650.0,1268900.0,,region_basel_stadt_core_01,block_0002
2612650.0,1268925.0,,region_basel_stadt_core_01,block_0002
2612650.0,1268950.0,,region_basel_stadt_core_01,block_0002
2612675.0,1268875.0,,region_basel_stadt_core_01,block_0002
2612675.0,1268900.0,,region_basel_stadt_core_01,block_0002
2612675.0,1268925.0,,region_basel_stadt_core_01,block_0002
2612675.0,1268950.0,,region_basel_stadt_core_01,block_0002
2612700.0,1267275.0,,region_basel_stadt_core_01,block_0003
2612700.0,1267300.0,,region_basel_stadt_core_01,block_0003
2612700.0,1267325.0,,region_basel_stadt_core_01,block_0003
2612700.0,1267350.0,,region_basel_stadt_core_01,block_0003
2612725.0,1267275.0,,region_basel_stadt_core_01,block_0003
